"s1","s2","s3","s4"
0.000000000,1.000000000,0.000000000,0.000000000
0.400000000,-0.000000000,0.400000000,0.000000000
0.060000000,0.320000000,-0.460000000,0.160000000
0.076000000,0.032000000,0.208000000,-0.400000000
-0.035200000,0.063200000,-0.149200000,0.471600000
0.000320000,-0.031760000,0.108800000,-0.336760000
0.112008000,0.087116000,-0.068544000,0.130996000
-0.116841600,-0.008957600,0.078464800,0.003185200
0.108349200,-0.084173360,-0.077999920,-0.006254360
-0.073265496,0.157938636,0.018224664,-0.073721028
0.043210944,-0.147017194,0.059712575,0.123030469
-0.032283412,0.082274299,-0.102216443,-0.071752225
0.042876504,-0.015403548,0.093744690,-0.047792637
-0.047820303,-0.002725157,-0.053815767,0.142381196
0.032639894,-0.025263021,0.018931901,-0.145927368
-0.002526429,0.058777546,-0.014692699,0.071555406
-0.023889092,-0.057024139,0.034993098,0.008597331
0.032059180,0.016063849,-0.051546434,-0.030271700
-0.022012255,0.033026697,0.042495234,-0.010838373
0.007326143,-0.054135331,-0.010931959,0.064117106
-0.002091157,0.037375168,-0.020649120,-0.074814143
0.009190225,-0.004123607,0.031384106,0.031597724
-0.019636885,-0.014675688,-0.019177363,0.028904723
0.022130523,0.005573625,0.000116889,-0.058839404
-0.013193441,0.018644372,0.007299535,0.040825456
-0.000616926,-0.033461642,0.002078970,0.001238342
0.009300834,0.025160554,-0.017656186,-0.027492531
-0.008145893,-0.001291701,0.024319474,0.017610392
0.000949256,-0.018213279,-0.016029224,0.014778399
0.004310384,0.019318494,-0.000018394,-0.038194814
-0.002735045,-0.004908675,0.010974546,0.032420490
-0.003794040,-0.009830762,-0.009773528,-0.004349159
0.009136581,0.011790737,0.000271736,-0.021124523
-0.008698336,-0.000695640,0.007451804,0.024301312
0.003191368,-0.012370257,-0.006414040,-0.006569745
0.002572305,0.015850762,-0.001786859,-0.013499037
-0.004205771,-0.007614186,0.009454038,0.018034709
0.001348313,-0.004379481,-0.010120203,-0.004849189
0.002579810,0.010030090,0.003906917,-0.012757588
-0.003770957,-0.005854065,0.003365596,0.019258028
0.001305448,-0.002951169,-0.005772768,-0.010349288
0.002440322,0.008024645,0.002261677,-0.004793370
-0.004229144,-0.005314934,0.003113253,0.012939414
0.002819460,-0.002050042,-0.005288283,-0.008455776
0.000225476,0.007329953,0.002608333,-0.002935211
-0.002199665,-0.006339023,0.002205940,0.010458198
0.001670027,0.000670548,-0.004916498,-0.008041034
0.000489589,0.004370475,0.003547543,-0.001154475
-0.002142164,-0.004706384,0.000224982,0.008584865
0.001861939,0.000760719,-0.002943880,-0.008234835
-0.000053181,0.003484778,0.002506507,0.001384655
-0.001622069,-0.004314945,0.000242988,0.005391373
0.001807654,0.001389660,-0.002611922,-0.006441953
-0.000560717,0.002397514,0.002576375,0.001683459
-0.000874654,-0.003775737,-0.000410241,0.004049009
0.001266566,0.001908843,-0.001836312,-0.005719848
-0.000430765,0.001206830,0.002293683,0.002376053
-0.000750856,-0.002786933,-0.000828782,0.002566435
0.001214188,0.001707850,-0.001063159,-0.004764389
-0.000637369,0.000759670,0.001727405,0.002734022
-0.000380241,-0.002332336,-0.000765305,0.001259696
0.000940552,0.001774319,-0.000791808,-0.003592592
-0.000642615,0.000190997,0.001538487,0.002513308
-0.000142491,-0.001740908,-0.000931899,0.000619101
0.000683488,0.001632473,-0.000358244,-0.002882317
-0.000552055,-0.000178034,0.001168908,0.002460303
-0.000054731,-0.001216949,-0.000888173,-0.000037300
0.000561386,0.001379974,-0.000098738,-0.002098178
-0.000549066,-0.000331348,0.000862194,0.002190239
0.000089948,-0.000885966,-0.000782603,-0.000430200
0.000375862,0.001218449,0.000033740,-0.001453631
-0.000458557,-0.000493748,0.000665768,0.001851622
0.000141102,-0.000545744,-0.000729425,-0.000616687
0.000254164,0.000986260,0.000181799,-0.000998705
-0.000381175,-0.000535968,0.000439808,0.001579490
0.000165428,-0.000308143,-0.000604240,-0.000764330
0.000167849,0.000780769,0.000234008,-0.000583347
-0.000322296,-0.000528867,0.000287383,0.001260582
0.000189938,-0.000142915,-0.000498287,-0.000783935
0.000081531,0.000613621,0.000258811,-0.000294275
-0.000245987,-0.000510949,0.000172148,0.000984765
0.000179183,-0.000005933,-0.000406536,-0.000752597
0.000031983,0.000448529,0.000271452,-0.000089091
-0.000189886,-0.000453505,0.000072200,0.000751899
0.000167266,0.000073467,-0.000308115,-0.000698780
-0.000005741,0.000320647,0.000251473,0.000065609
-0.000140899,-0.000393525,0.000011847,0.000539391
0.000150911,0.000124140,-0.000232421,-0.000609537
-0.000033344,0.000216626,0.000228857,0.000154560
-0.000096272,-0.000332036,-0.000032329,0.000373612
0.000127064,0.000153430,-0.000166883,-0.000519027
-0.000045823,0.000130878,0.000200405,0.000207321
-0.000064330,-0.000267423,-0.000061187,0.000240198
0.000106474,0.000159939,-0.000111126,-0.000428428
-0.000053513,0.000069438,0.000166841,0.000231592
-0.000037838,-0.000211227,-0.000073898,0.000134910
0.000085650,0.000156685,-0.000070094,-0.000339955
-0.000055190,0.000023206,0.000136865,0.000231102
-0.000017772,-0.000160630,-0.000079745,0.000059502
0.000066170,0.000145027,-0.000037331,-0.000263080
